㜋 YI
㜌 GOU
㜍 TANG
㜎 QI
㜏 YUN
㜐 SHU
㜑 FU
㜒 YI
㜓 DA
㜕 LIAN
㜖 CAO
㜗 CAN
㜘 JU
㜙 LU
㜚 SU
㜛 NEN
㜜 AO
㜝 AN
㜞 QIAN
㜣 RAN
㜤 SHEN
㜥 MAI
㜦 HAN
㜧 YUE
㜨 ER
㜩 AO
㜪 XIAN
㜫 MA
㜮 LAN
㜰 YUE
㜱 DONG
㜲 WENG
㜳 HUAI
㜴 MENG
㜵 NIAO
㜶 WAN
㜷 MI
㜸 NIE
㜹 QU
㜺 ZAN
㜻 LIAN
㜼 ZHI
㜽 ZI
㜾 HAI
㜿 XU
㝀 HAO
㝁 XUN
㝂 ZHI
㝃 FAN
㝄 CHUN
㝅 GOU
㝇 CHUN
㝈 LUAN
㝉 ZHU
㝊 SHOU
㝋 LIAO
㝌 JIE
㝍 XIE
㝎 DING
㝏 JIE
㝐 RONG
㝑 MANG
㝓 GE
㝔 YAO
㝕 NING
㝖 YI
㝗 LANG
㝘 YONG
㝙 YIN
㝛 SU
㝝 LIN
㝞 YA
㝟 MAO
㝠 MING
㝡 ZUI
㝢 YU
㝣 YE
㝤 GOU
㝥 MI
㝦 JUN
㝧 WEN
㝪 DIAN
㝫 LONG
㝭 XING
㝮 CUI
㝯 QIAO
㝰 MIAN
㝱 MENG
㝲 QIN
㝴 WAN
㝵 DE
㝶 AI
㝸 BIAN
㝹 NOU
㝺 LIAN
㝻 JIN
㝽 CHUI
㝾 ZUO
㝿 BO
㞁 YAO
㞂 TUI
㞃 JI
㞅 GUO
㞆 JI
㞇 WEI
㞊 XU
㞋 NIAN
㞌 YUN
㞎 BA
㞏 ZHE
㞐 JU
㞑 WEI
㞒 XI
㞓 QI
㞔 YI
㞕 XIE
㞖 CI
㞗 QIU
㞘 TUN
㞙 NIAO
㞚 QI
㞛 JI
㞟 DIAN
㞠 LAO
㞡 ZHAN
㞤 YIN
㞥 CEN
㞦 JI
㞧 HUI
㞨 ZAI
㞩 LAN
㞪 NAO
㞫 JU
㞬 QIN
㞭 DAI
㞯 JIE
㞰 XU
㞲 YONG
㞳 DOU
㞴 CHI
㞶 MIN
㞷 HUANG
㞸 SUI
㞹 KE
㞺 ZU
㞻 HAO
㞼 CHENG
㞽 XUE
㞾 NI
㞿 CHI
㟀 LIAN
㟁 AN
㟂 CHI
㟄 XIANG
㟅 YANG
㟆 HUA
㟇 CUO
㟈 QIU
㟉 LAO
㟊 FU
㟋 DUI
㟌 MANG
㟍 LANG
㟎 TUO
㟏 HAN
㟐 MANG
㟑 BO
㟓 QI
㟔 HAN
㟖 LONG
㟘 TIAO
㟙 LAO
㟚 QI
㟛 ZAN
㟜 MI
㟝 PEI
㟞 ZHAN
㟟 XIANG
㟠 GANG
㟢 QI
㟤 LU
㟦 YUN
㟧 E
㟨 QUAN
㟩 MIN
㟪 WEI
㟫 QUAN
㟬 SHU
㟭 MIN
㟰 MING
㟱 YAO
㟲 JUE
㟳 LI
㟴 KUAI
㟵 GANG
㟶 YUAN
㟷 DA
㟹 LAO
㟺 LOU
㟻 QIAN
㟼 AO
㟽 BIAO
㟿 MANG
㠀 DAO
㠂 AO
㠄 XI
㠅 FU
㠇 JIU
㠈 RUN
㠉 TONG
㠊 QU
㠋 E
㠍 JI
㠎 JI
㠏 HUA
㠐 JIAO
㠑 ZUI
㠒 BIAO
㠓 MENG
㠔 BAI
㠕 WEI
㠖 JI
㠗 AO
㠘 YU
㠙 HAO
㠚 DUI
㠛 WO
㠜 NI
㠝 CUAN
㠟 LI
㠠 LU
㠡 NIAO
㠢 HUA
㠣 LAI
㠥 LÜ
㠧 MI
㠨 YU
㠪 JU
㠭 ZHAN
㠯 YI
㠱 JI
㠲 BI
㠴 REN
㠶 FAN
㠷 GE
㠸 KU
㠹 JIE
㠺 MIAO
㠽 TONG
㠿 CI
㡀 BI
㡁 KAI
㡂 LI
㡄 SUN
㡅 NUO
㡇 JI
㡈 MEN
㡉 XIAN
㡊 QIA
㡋 E
㡌 MAO
㡏 TOU
㡑 QIAO
㡔 WU
㡖 CHUANG
㡗 TI
㡘 LIAN
㡙 BI
㡛 MANG
㡜 XUE
㡝 FENG
㡞 LEI
㡠 ZHENG
㡡 CHU
㡢 MAN
㡣 LONG
㡥 YIN
㡧 ZHENG
㡨 QIAN
㡩 LUAN
㡪 NIE
㡫 YI
㡭 JI
㡮 JI
㡯 ZHAI
㡰 YU
㡱 JIU
㡲 HUAN
㡳 DI
㡵 LING
㡶 JI
㡷 BEN
㡸 ZHA
㡹 CI
㡺 DAN
㡻 LIAO
㡼 YI
㡽 ZHAO
㡾 XIAN
㡿 CHI
㢀 CI
㢁 CHI
㢂 YAN
㢃 LANG
㢄 DOU
㢅 LONG
㢆 CHAN
㢈 TUI
㢉 CHA
㢊 AI
㢋 CHI
㢍 YING
㢎 CHA
㢏 TOU
㢑 TUI
㢒 CHA
㢓 YAO
㢔 ZONG
㢗 QIAO
㢘 LIAN
㢙 QIN
㢚 LU
㢛 YAN
㢞 YI
㢟 CHAN
㢠 JIONG
㢡 JIANG
㢣 JING
㢥 DONG
㢧 JUAN
㢨 HAN
㢩 DI
㢬 HONG
㢮 CHI
㢯 MIN
㢰 BI
㢲 XUN
㢳 LU
㢵 SHE
㢶 BI
㢸 BI
㢺 XIAN
㢻 WEI
㢼 BIE
㢽 ER
㢾 JUAN
㣀 ZHEN
㣁 BEI
㣂 YI
㣃 YU
㣄 QU
㣅 ZAN
㣆 MI
㣇 NI
㣈 SI
㣌 SHAN
㣍 TAI
㣎 MU
㣏 JING
㣐 BIAN
㣑 RONG
㣒 CENG
㣓 CAN
㣙 DI
㣚 TONG
㣛 TA
㣜 XING
㣞 DUO
㣟 XI
㣠 TONG
㣢 TI
㣣 SHAN
㣤 JIAN
㣥 ZHI
㣧 YIN
㣪 HUAN
㣫 ZHONG
㣬 QI
㣯 XIE
